,day_timestamp,Close,day_average_sentiment
398,2017-08-02,2477.570068,0.2787
399,2017-08-03,2472.159912,0.4509
400,2017-08-04,2476.830078,0.0
401,2017-08-07,2480.909912,
402,2017-08-08,2474.919922,
403,2017-08-09,2474.02002,
404,2017-08-10,2438.209961,
405,2017-08-11,2441.320068,
406,2017-08-14,2465.840088,
407,2017-08-15,2464.610107,
408,2017-08-16,2468.110107,0.2553000000000001
409,2017-08-17,2430.01001,-0.4973000000000001
410,2017-08-18,2425.550049,
411,2017-08-21,2428.3701170000004,
412,2017-08-22,2452.51001,
413,2017-08-23,2444.040039,
414,2017-08-24,2438.969971,
415,2017-08-25,2443.050049,
416,2017-08-28,2444.23999,-0.05159999999999999
417,2017-08-29,2446.300049,
418,2017-08-30,2457.590088,0.7350999999999999
419,2017-08-31,2471.649902,
420,2017-09-01,2476.550049,
421,2017-09-05,2457.850098,
422,2017-09-06,2465.540039,0.07719999999999999
423,2017-09-07,2465.100098,0.6123999999999999
424,2017-09-08,2461.429932,
425,2017-09-11,2488.110107,
426,2017-09-12,2496.47998,
427,2017-09-13,2498.3701170000004,
428,2017-09-14,2495.6201170000004,0.25
429,2017-09-15,2500.22998,
430,2017-09-18,2503.8701170000004,
431,2017-09-19,2506.649902,
432,2017-09-20,2508.23999,
433,2017-09-21,2500.600098,
434,2017-09-22,2502.219971,
435,2017-09-25,2496.659912,
436,2017-09-26,2496.840088,
437,2017-09-27,2507.040039,0.2732
438,2017-09-28,2510.060059,-0.2732
439,2017-09-29,2519.360107,0.0
440,2017-10-02,2529.1201170000004,
441,2017-10-03,2534.580078,
442,2017-10-04,2537.73999,
443,2017-10-05,2552.070068,0.0258
444,2017-10-06,2549.330078,0.14060000000000006
445,2017-10-09,2544.72998,-0.2732
446,2017-10-10,2550.639893,0.3182
447,2017-10-11,2555.23999,0.5423
448,2017-10-12,2550.929932,
449,2017-10-13,2553.169922,
450,2017-10-16,2557.639893,
451,2017-10-17,2559.360107,-0.3548000000000001
452,2017-10-18,2561.26001,0.4404
453,2017-10-19,2562.100098,-0.07455000000000002
454,2017-10-20,2575.209961,
455,2017-10-23,2564.97998,0.0
456,2017-10-24,2569.1298829999996,0.3559499999999999
457,2017-10-25,2557.149902,
458,2017-10-26,2560.399902,0.07655
459,2017-10-27,2581.070068,0.8481000000000001
460,2017-10-30,2572.830078,-0.8231
461,2017-10-31,2575.26001,0.3489666666666666
462,2017-11-01,2579.360107,
463,2017-11-02,2579.850098,0.0
464,2017-11-03,2587.840088,
465,2017-11-06,2591.1298829999996,
466,2017-11-07,2590.639893,
467,2017-11-08,2594.3798829999996,
468,2017-11-09,2584.6201170000004,
469,2017-11-10,2582.300049,
470,2017-11-13,2584.840088,
471,2017-11-14,2578.8701170000004,
472,2017-11-15,2564.6201170000004,
473,2017-11-16,2585.639893,
474,2017-11-17,2578.850098,
475,2017-11-20,2582.139893,
476,2017-11-21,2599.030029,
477,2017-11-22,2597.080078,
478,2017-11-24,2602.419922,
479,2017-11-27,2601.419922,
480,2017-11-28,2627.040039,
481,2017-11-29,2626.070068,
482,2017-11-30,2647.580078,
483,2017-12-01,2642.219971,
484,2017-12-04,2639.439941,
485,2017-12-05,2629.570068,
486,2017-12-06,2629.27002,
487,2017-12-07,2636.97998,
488,2017-12-08,2651.5,
489,2017-12-11,2659.98999,0.0
490,2017-12-12,2664.110107,
491,2017-12-13,2662.850098,0.0
492,2017-12-14,2652.01001,0.3818
493,2017-12-15,2675.810059,0.137625
494,2017-12-18,2690.159912,0.4203
495,2017-12-19,2681.469971,0.2807
496,2017-12-20,2679.25,0.2332186634557496
497,2017-12-21,2684.570068,0.13898000000000002
498,2017-12-22,2683.340088,0.4822
499,2017-12-26,2680.5,
500,2017-12-27,2682.6201170000004,
501,2017-12-28,2687.540039,
502,2017-12-29,2673.610107,
503,2018-01-02,2695.810059,
504,2018-01-03,2713.060059,
505,2018-01-04,2723.98999,
506,2018-01-05,2743.149902,
507,2018-01-08,2747.709961,
508,2018-01-09,2751.290039,
509,2018-01-10,2748.22998,
510,2018-01-11,2767.560059,
511,2018-01-12,2786.23999,
512,2018-01-16,2776.419922,
513,2018-01-17,2802.560059,
514,2018-01-18,2798.030029,
515,2018-01-19,2810.300049,
516,2018-01-22,2832.969971,
517,2018-01-23,2839.1298829999996,
518,2018-01-24,2837.540039,
519,2018-01-25,2839.25,
520,2018-01-26,2872.8701170000004,
521,2018-01-29,2853.530029,0.12726666666666667
522,2018-01-30,2822.429932,0.42528
523,2018-01-31,2823.810059,0.10082
524,2018-02-01,2821.97998,0.7991280334728033
